advertiser,ad_unit,ad_ctr,revenue,impressions,ecpm
Omni Financial Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,11,5.04
Omnyex E Commerce,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
Omnyex E Commerce,21839579524 » am-android-foryou-large-ib-low,11.11%,0.05,18,3.01
Omnyex E Commerce,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,4,5.01
OnPoint Global,21839579524 » am-android-foryou-large-ib-high,0.00%,0.60,50,12.01
OnPoint Global,21839579524 » am-android-foryou-large-ib-low,0.00%,0.23,77,3.03
OnPoint Global,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.26,52,5.01
One Direct International,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
One Direct International,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,13,3.05
One Direct International,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,11,5.01
One Distribution-106892612,21839579524 » am-android-foryou-large-ib-high,2.07%,4.08,338,12.08
One Distribution-106892612,21839579524 » am-android-foryou-large-ib-low,1.16%,2.36,778,3.04
One Distribution-106892612,21839579524 » am-android-foryou-large-ib-medium,1.86%,3.80,753,5.05
One Planet Ops,21839579524 » am-android-foryou-large-ib-high,7.10%,8.04,535,15.03
One Planet Ops,21839579524 » am-android-foryou-large-ib-low,2.99%,7.83,"2,309",3.39
One Planet Ops,21839579524 » am-android-foryou-large-ib-medium,2.93%,8.91,"1,468",6.07
One Technologies,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
One Technologies,21839579524 » am-android-foryou-large-ib-low,0.00%,0.08,28,3.03
One Technologies,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,11,5.01
One97,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
OneTwoTrip,21839579524 » am-android-foryou-large-ib-high,0.00%,0.13,10,12.91
OneTwoTrip,21839579524 » am-android-foryou-large-ib-low,0.00%,0.03,11,3.14
OneTwoTrip,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,10,6.29
Online Career Center,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,6,3.00
Online Career Center,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.16,31,5.00
Online Stores,21839579524 » am-android-foryou-large-ib-high,1.70%,9.96,823,12.10
Online Stores,21839579524 » am-android-foryou-large-ib-low,0.80%,6.04,"1,997",3.03
Online Stores,21839579524 » am-android-foryou-large-ib-medium,1.57%,7.41,"1,467",5.05
Onnit Labs,21839579524 » am-android-foryou-large-ib-high,2.60%,1.39,77,18.08
Onnit Labs,21839579524 » am-android-foryou-large-ib-low,0.52%,0.66,194,3.41
Onnit Labs,21839579524 » am-android-foryou-large-ib-medium,1.81%,1.01,166,6.07
Ontario Teachers' Pension Plan,21839579524 » am-android-foryou-large-ib-high,0.00%,0.36,30,12.01
Ontario Teachers' Pension Plan,21839579524 » am-android-foryou-large-ib-low,0.00%,0.48,161,3.01
Ontario Teachers' Pension Plan,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.51,102,5.01
Ooma,21839579524 » am-android-foryou-large-ib-high,2.24%,4.33,357,12.12
Ooma,21839579524 » am-android-foryou-large-ib-low,0.00%,0.57,185,3.06
Ooma,21839579524 » am-android-foryou-large-ib-medium,0.34%,1.46,291,5.03
Ooredoo,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
Ooredoo,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,22,3.01
Ooredoo,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.10,20,5.01
"Open House Co., Ltd",21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.00
"Open House Co., Ltd",21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
"OpenSky Project, Inc.",21839579524 » am-android-foryou-large-ib-high,0.00%,0.17,14,12.21
"OpenSky Project, Inc.",21839579524 » am-android-foryou-large-ib-low,0.00%,0.28,92,3.01
"OpenSky Project, Inc.",21839579524 » am-android-foryou-large-ib-medium,0.00%,0.29,58,5.01
OpenText,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
OpenText,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,43,3.01
OpenText,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.16,31,5.02
Opendoor,21839579524 » am-android-foryou-large-ib-high,1.85%,17.06,"1,407",12.13
Opendoor,21839579524 » am-android-foryou-large-ib-low,0.36%,52.56,"17,349",3.03
Opendoor,21839579524 » am-android-foryou-large-ib-medium,0.68%,40.28,"7,970",5.05
Operadora Turistica Corporative,21839579524 » am-android-foryou-large-ib-high,2.50%,0.96,80,12.04
Operadora Turistica Corporative,21839579524 » am-android-foryou-large-ib-low,0.00%,1.72,573,3.01
Operadora Turistica Corporative,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.71,340,5.02
Optics Planet,21839579524 » am-android-foryou-large-ib-high,1.07%,5.61,466,12.04
Optics Planet,21839579524 » am-android-foryou-large-ib-low,0.00%,2.99,988,3.03
Optics Planet,21839579524 » am-android-foryou-large-ib-medium,0.43%,4.65,925,5.03
Oracle Corporation,21839579524 » am-android-foryou-large-ib-high,2.77%,30.84,"1,875",16.45
Oracle Corporation,21839579524 » am-android-foryou-large-ib-low,2.01%,12.61,"3,674",3.43
Oracle Corporation,21839579524 » am-android-foryou-large-ib-medium,2.56%,18.86,"3,010",6.27
Orange S.A.,21839579524 » am-android-foryou-large-ib-low,1.89%,0.17,53,3.13
Orange S.A.,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.09,17,5.02
Orb Audio,21839579524 » am-android-foryou-large-ib-high,0.00%,0.36,30,12.01
Orb Audio,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,19,3.01
Orb Audio,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.15,30,5.06
Organica Research LLC,21839579524 » am-android-foryou-large-ib-high,0.00%,0.21,9,23.86
Organica Research LLC,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,3,3.08
Organica Research LLC,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.42
Oriental Trading Company,21839579524 » am-android-foryou-large-ib-high,1.83%,8.56,601,14.24
Oriental Trading Company,21839579524 » am-android-foryou-large-ib-low,0.79%,12.63,"3,803",3.32
Oriental Trading Company,21839579524 » am-android-foryou-large-ib-medium,1.07%,14.18,"2,441",5.81
Orientis Gourmet,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
Orientis Gourmet,21839579524 » am-android-foryou-large-ib-low,11.11%,0.06,18,3.12
Orientis Gourmet,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.10,20,5.01
Oris,21839579524 » am-android-foryou-large-ib-high,0.00%,0.28,23,12.01
Oris,21839579524 » am-android-foryou-large-ib-low,1.19%,0.25,84,3.01
Oris,21839579524 » am-android-foryou-large-ib-medium,9.09%,0.28,55,5.00
Orka Holding,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Ormatek,21839579524 » am-android-foryou-large-ib-high,0.00%,0.20,15,13.47
Ormatek,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,12,3.01
Ormatek,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.09,17,5.26
Orvis,21839579524 » am-android-foryou-large-ib-high,2.03%,5.65,344,16.42
Orvis,21839579524 » am-android-foryou-large-ib-low,3.71%,3.34,998,3.35
Orvis,21839579524 » am-android-foryou-large-ib-medium,3.98%,4.34,703,6.18
Oryx Group,21839579524 » am-android-foryou-large-ib-high,0.00%,0.69,54,12.83
Oryx Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.54,177,3.07
Oryx Group,21839579524 » am-android-foryou-large-ib-medium,0.87%,0.58,115,5.01
Osom,21839579524 » am-android-foryou-large-ib-high,0.00%,0.07,6,12.00
Osom,21839579524 » am-android-foryou-large-ib-low,0.00%,0.05,15,3.05
Osom,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.05,10,5.01
Otsuka Holdings,21839579524 » am-android-foryou-large-ib-high,2.10%,7.65,476,16.07
Otsuka Holdings,21839579524 » am-android-foryou-large-ib-low,1.27%,2.97,867,3.43
Otsuka Holdings,21839579524 » am-android-foryou-large-ib-medium,1.26%,5.86,956,6.13
Ottawa Tourism,21839579524 » am-android-foryou-large-ib-low,0.00%,0.03,11,3.00
Ottawa Tourism,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,7,5.00
OtterBox,21839579524 » am-android-foryou-large-ib-high,0.86%,2.08,116,17.96
OtterBox,21839579524 » am-android-foryou-large-ib-low,3.21%,0.91,280,3.24
OtterBox,21839579524 » am-android-foryou-large-ib-medium,0.95%,1.26,210,5.99
Otto Group,21839579524 » am-android-foryou-large-ib-high,1.76%,530.70,"42,911",12.37
Otto Group,21839579524 » am-android-foryou-large-ib-low,1.03%,138.04,"45,046",3.06
Otto Group,21839579524 » am-android-foryou-large-ib-medium,1.20%,256.28,"50,212",5.10
Otto Insurance,21839579524 » am-android-foryou-large-ib-high,2.04%,391.53,"32,227",12.15
Otto Insurance,21839579524 » am-android-foryou-large-ib-low,0.61%,206.89,"68,167",3.04
Otto Insurance,21839579524 » am-android-foryou-large-ib-medium,0.94%,291.37,"57,713",5.05
Ouidad Products,21839579524 » am-android-foryou-large-ib-high,0.00%,0.18,15,12.01
Ouidad Products,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,20,3.04
Ouidad Products,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.12,22,5.25
OurPalm,21839579524 » am-android-foryou-large-ib-high,0.00%,0.12,10,12.01
OurPalm,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,22,3.27
OurPalm,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.07,13,5.57
Outdoorplay,21839579524 » am-android-foryou-large-ib-high,1.82%,0.67,55,12.10
Outdoorplay,21839579524 » am-android-foryou-large-ib-low,0.82%,0.74,245,3.04
Outdoorplay,21839579524 » am-android-foryou-large-ib-medium,0.64%,0.79,156,5.04
Outdoorsy,21839579524 » am-android-foryou-large-ib-high,0.00%,1.43,119,12.01
Outdoorsy,21839579524 » am-android-foryou-large-ib-low,2.44%,0.38,123,3.05
Outdoorsy,21839579524 » am-android-foryou-large-ib-medium,0.76%,0.66,131,5.04
Outlook Amusements,21839579524 » am-android-foryou-large-ib-high,1.10%,11.11,911,12.19
Outlook Amusements,21839579524 » am-android-foryou-large-ib-low,0.31%,5.17,"1,599",3.23
Outlook Amusements,21839579524 » am-android-foryou-large-ib-medium,0.56%,7.32,"1,433",5.11
Outplay Entertainment,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
Outplay Entertainment,21839579524 » am-android-foryou-large-ib-low,0.00%,0.03,11,3.06
Outsystems,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
Outsystems,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Overheid en non-profit,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
Overstock.com,21839579524 » am-android-foryou-large-ib-high,2.19%,544.06,"41,377",13.15
Overstock.com,21839579524 » am-android-foryou-large-ib-low,1.37%,162.02,"50,944",3.18
Overstock.com,21839579524 » am-android-foryou-large-ib-medium,1.49%,309.17,"57,360",5.39
Owens & Minor,21839579524 » am-android-foryou-large-ib-low,0.00%,0.11,31,3.50
Owens & Minor,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.70
Owens Corning Intellectual Capital,21839579524 » am-android-foryou-large-ib-high,0.76%,6.31,523,12.07
Owens Corning Intellectual Capital,21839579524 » am-android-foryou-large-ib-low,0.00%,0.52,169,3.09
Owens Corning Intellectual Capital,21839579524 » am-android-foryou-large-ib-medium,1.36%,1.12,221,5.08
Oxfam,21839579524 » am-android-foryou-large-ib-high,33.33%,0.04,3,12.00
Oxfam,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,5,3.00
Oxfam,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.05,9,5.00
Ozon.ru,21839579524 » am-android-foryou-large-ib-high,6.58%,1.20,76,15.82
Ozon.ru,21839579524 » am-android-foryou-large-ib-low,3.66%,0.90,273,3.28
Ozon.ru,21839579524 » am-android-foryou-large-ib-medium,2.93%,1.20,205,5.84
P.C. Richard & Son,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,5,3.01
P.C. Richard & Son,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
P.H. Traf sp.j.,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,3,3.00
P.H. Traf sp.j.,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
PAI Partners,21839579524 » am-android-foryou-large-ib-low,0.00%,1.35,449,3.01
PC Connection,21839579524 » am-android-foryou-large-ib-high,0.89%,3.22,224,14.36
PC Connection,21839579524 » am-android-foryou-large-ib-low,1.04%,12.92,"3,942",3.28
PC Connection,21839579524 » am-android-foryou-large-ib-medium,1.28%,8.22,"1,408",5.84
PDFfiller,21839579524 » am-android-foryou-large-ib-high,33.33%,0.04,3,12.01
PDFfiller,21839579524 » am-android-foryou-large-ib-low,4.76%,0.06,21,3.01
PDFfiller,21839579524 » am-android-foryou-large-ib-medium,5.88%,0.09,17,5.01
PEMCO Insurance,21839579524 » am-android-foryou-large-ib-high,1.47%,0.82,68,12.07
PEMCO Insurance,21839579524 » am-android-foryou-large-ib-low,0.21%,5.84,"1,929",3.03
PEMCO Insurance,21839579524 » am-android-foryou-large-ib-medium,0.55%,1.83,366,5.01
PLDT,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
PLDT,21839579524 » am-android-foryou-large-ib-low,0.00%,0.03,11,3.01
PLDT,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
PLL Lot,21839579524 » am-android-foryou-large-ib-high,0.00%,0.08,7,12.00
PLL Lot,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,3,3.00
PLL Lot,21839579524 » am-android-foryou-large-ib-medium,8.33%,0.06,12,5.00
PM Connect,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
PNC Financial Services Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
PPF,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.00
PPF,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.83
PPF,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.00
PPR Media,21839579524 » am-android-foryou-large-ib-high,7.01%,79.01,"6,505",12.15
PPR Media,21839579524 » am-android-foryou-large-ib-low,2.73%,113.03,"37,309",3.03
PPR Media,21839579524 » am-android-foryou-large-ib-medium,3.78%,117.93,"23,350",5.05
PPS Imaging,21839579524 » am-android-foryou-large-ib-high,0.91%,2.64,219,12.07
PPS Imaging,21839579524 » am-android-foryou-large-ib-low,0.00%,0.09,30,3.01
PPS Imaging,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.32,63,5.01
PT Tokopedia,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,5,3.00
PUIG,21839579524 » am-android-foryou-large-ib-high,0.00%,0.25,20,12.46
PUIG,21839579524 » am-android-foryou-large-ib-low,8.33%,0.04,12,3.48
PUIG,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.08,16,5.25
PW Companies,21839579524 » am-android-foryou-large-ib-high,1.25%,14.95,877,17.04
PW Companies,21839579524 » am-android-foryou-large-ib-low,0.66%,5.25,"1,511",3.47
PW Companies,21839579524 » am-android-foryou-large-ib-medium,0.73%,8.44,"1,371",6.15
Pace University,21839579524 » am-android-foryou-large-ib-high,0.66%,23.73,"1,964",12.08
Pace University,21839579524 » am-android-foryou-large-ib-low,0.90%,1.71,554,3.08
Pace University,21839579524 » am-android-foryou-large-ib-medium,1.35%,3.37,666,5.07
Pacific Brands,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Packt Publishing,21839579524 » am-android-foryou-large-ib-high,0.00%,0.13,8,15.98
Packt Publishing,21839579524 » am-android-foryou-large-ib-low,0.00%,0.28,84,3.27
Packt Publishing,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.29,46,6.21
Palm Beach Jewelry,21839579524 » am-android-foryou-large-ib-high,3.50%,18.74,"1,000",18.74
Palm Beach Jewelry,21839579524 » am-android-foryou-large-ib-low,2.20%,3.85,"1,091",3.53
Palm Beach Jewelry,21839579524 » am-android-foryou-large-ib-medium,2.47%,7.17,"1,135",6.32
Palo Alto Software,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
Panasonic,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.01
Panasonic,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,13,3.03
Panasonic,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,6,5.01
Panda Security,21839579524 » am-android-foryou-large-ib-high,0.00%,0.13,11,12.01
Panda Security,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,19,3.03
Panda Security,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.14,27,5.02
Pandora Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.84
Pandora Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.15
Panini France,21839579524 » am-android-foryou-large-ib-high,0.28%,349.67,"29,069",12.03
Panini France,21839579524 » am-android-foryou-large-ib-low,0.18%,53.32,"17,564",3.04
Panini France,21839579524 » am-android-foryou-large-ib-medium,0.25%,138.28,"27,561",5.02
Pantheon Systems,21839579524 » am-android-foryou-large-ib-high,0.00%,1.67,138,12.13
Pantheon Systems,21839579524 » am-android-foryou-large-ib-low,0.49%,1.22,405,3.02
Pantheon Systems,21839579524 » am-android-foryou-large-ib-medium,0.46%,1.11,219,5.07
Papa John's International,21839579524 » am-android-foryou-large-ib-high,0.00%,0.13,11,12.01
Papa John's International,21839579524 » am-android-foryou-large-ib-low,0.00%,0.18,60,3.01
Papa John's International,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.19,38,5.01
Paper Mart,21839579524 » am-android-foryou-large-ib-high,1.74%,27.10,"2,246",12.07
Paper Mart,21839579524 » am-android-foryou-large-ib-low,0.47%,6.50,"2,141",3.04
Paper Mart,21839579524 » am-android-foryou-large-ib-medium,0.74%,13.64,"2,707",5.04
Paperless,21839579524 » am-android-foryou-large-ib-high,0.33%,14.51,"1,206",12.03
Paperless,21839579524 » am-android-foryou-large-ib-low,0.22%,4.21,"1,389",3.03
Paperless,21839579524 » am-android-foryou-large-ib-medium,0.19%,8.11,"1,614",5.03
Paperlove LLC,21839579524 » am-android-foryou-large-ib-high,3.03%,1.16,66,17.54
Paperlove LLC,21839579524 » am-android-foryou-large-ib-low,1.18%,0.28,85,3.25
Paperlove LLC,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.46,76,6.02
Papyless,21839579524 » am-android-foryou-large-ib-high,2.12%,5.17,424,12.20
Papyless,21839579524 » am-android-foryou-large-ib-low,1.25%,1.36,399,3.41
Papyless,21839579524 » am-android-foryou-large-ib-medium,0.35%,1.51,287,5.26
Partner Communications Company,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.00
Partner Communications Company,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.00
Partners Healthcare System,21839579524 » am-android-foryou-large-ib-high,0.67%,1.80,150,12.01
Partners Healthcare System,21839579524 » am-android-foryou-large-ib-low,0.00%,0.89,293,3.03
Partners Healthcare System,21839579524 » am-android-foryou-large-ib-medium,0.28%,1.77,353,5.01
Patagonia,21839579524 » am-android-foryou-large-ib-high,0.00%,1.94,161,12.04
Patagonia,21839579524 » am-android-foryou-large-ib-low,0.00%,0.52,172,3.02
Patagonia,21839579524 » am-android-foryou-large-ib-medium,0.54%,0.93,185,5.03
Paul Fredrick,21839579524 » am-android-foryou-large-ib-high,3.37%,13.64,771,17.69
Paul Fredrick,21839579524 » am-android-foryou-large-ib-low,1.91%,4.76,"1,414",3.37
Paul Fredrick,21839579524 » am-android-foryou-large-ib-medium,2.71%,7.52,"1,218",6.17
Paula's Choice,21839579524 » am-android-foryou-large-ib-high,2.51%,5.77,358,16.11
Paula's Choice,21839579524 » am-android-foryou-large-ib-low,0.53%,3.72,"1,129",3.29
Paula's Choice,21839579524 » am-android-foryou-large-ib-medium,0.56%,5.36,896,5.98
PayPal,21839579524 » am-android-foryou-large-ib-high,0.45%,107.09,"7,332",14.61
PayPal,21839579524 » am-android-foryou-large-ib-low,0.24%,511.92,"144,992",3.53
PayPal,21839579524 » am-android-foryou-large-ib-medium,0.26%,311.40,"50,702",6.14
Payability Operations LLC,21839579524 » am-android-foryou-large-ib-high,0.00%,0.61,50,12.11
Payability Operations LLC,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,6,3.70
Payability Operations LLC,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.09,16,5.40
Payclip Inc,21839579524 » am-android-foryou-large-ib-high,0.00%,0.12,10,12.00
Payclip Inc,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,22,3.00
Payclip Inc,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.07,14,5.00
Peak Games,21839579524 » am-android-foryou-large-ib-high,0.35%,41.68,"3,381",12.33
Peak Games,21839579524 » am-android-foryou-large-ib-low,0.14%,10.92,"3,494",3.13
Peak Games,21839579524 » am-android-foryou-large-ib-medium,0.03%,18.96,"3,682",5.15
Pearl Agency,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.49
Pearson,21839579524 » am-android-foryou-large-ib-high,1.41%,7.69,637,12.08
Pearson,21839579524 » am-android-foryou-large-ib-low,0.45%,4.02,"1,328",3.03
Pearson,21839579524 » am-android-foryou-large-ib-medium,0.50%,8.11,"1,611",5.03
Pegasystems,21839579524 » am-android-foryou-large-ib-high,0.00%,0.18,15,12.01
Pegasystems,21839579524 » am-android-foryou-large-ib-low,0.64%,0.47,157,3.01
Pegasystems,21839579524 » am-android-foryou-large-ib-medium,0.62%,0.81,161,5.03
Pella,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.01
Pella,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,44,3.02
Pella,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.08,15,5.06
Pelmorex Media,21839579524 » am-android-foryou-large-ib-high,14.29%,0.10,7,13.94
Pelmorex Media,21839579524 » am-android-foryou-large-ib-low,0.44%,2.88,685,4.20
Pelmorex Media,21839579524 » am-android-foryou-large-ib-medium,1.16%,1.20,172,6.96
Peloton Interactive,21839579524 » am-android-foryou-large-ib-high,0.17%,34.81,"2,886",12.06
Peloton Interactive,21839579524 » am-android-foryou-large-ib-low,0.35%,8.77,"2,898",3.03
Peloton Interactive,21839579524 » am-android-foryou-large-ib-medium,0.34%,17.68,"3,515",5.03
Penn State University World Campus,21839579524 » am-android-foryou-large-ib-high,0.57%,8.58,696,12.33
Penn State University World Campus,21839579524 » am-android-foryou-large-ib-low,0.00%,0.93,289,3.22
Penn State University World Campus,21839579524 » am-android-foryou-large-ib-medium,0.00%,2.89,570,5.08
Penny Picks,21839579524 » am-android-foryou-large-ib-high,0.81%,1.49,124,12.03
Penny Picks,21839579524 » am-android-foryou-large-ib-low,0.00%,0.44,144,3.03
Penny Picks,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.75,149,5.05
Pentagon Federal Credit Union,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
Pentagon Federal Credit Union,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.01
People Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.03,9,3.00
People Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,6,5.29
People's Dispensary For Sick Animals,21839579524 » am-android-foryou-large-ib-low,0.00%,0.08,22,3.79
People's Dispensary For Sick Animals,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,10,5.95
PeopleFinders.com,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,8,3.01
PeopleFinders.com,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
Pepsico,21839579524 » am-android-foryou-large-ib-high,0.74%,22.84,"1,898",12.03
Pepsico,21839579524 » am-android-foryou-large-ib-low,0.20%,7.70,"2,538",3.03
Pepsico,21839579524 » am-android-foryou-large-ib-medium,0.27%,14.75,"2,928",5.04
Percipio Media,21839579524 » am-android-foryou-large-ib-high,0.00%,0.08,7,12.01
Percipio Media,21839579524 » am-android-foryou-large-ib-low,1.07%,1.13,375,3.02
Percipio Media,21839579524 » am-android-foryou-large-ib-medium,1.25%,0.40,80,5.03
Perfect Memorials,21839579524 » am-android-foryou-large-ib-high,1.75%,17.38,"1,426",12.19
Perfect Memorials,21839579524 » am-android-foryou-large-ib-low,1.46%,5.03,"1,641",3.06
Perfect Memorials,21839579524 » am-android-foryou-large-ib-medium,1.19%,9.80,"1,931",5.07
Perfect Origins,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,44,3.04
Perfect Origins,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.08,16,5.25
Perforce,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,7,3.01
Perforce,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
PerkinElmer,21839579524 » am-android-foryou-large-ib-high,0.00%,0.19,16,12.01
PerkinElmer,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,21,3.00
PerkinElmer,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,12,5.00
Permira Holdings,21839579524 » am-android-foryou-large-ib-high,1.30%,71.94,"5,914",12.16
Permira Holdings,21839579524 » am-android-foryou-large-ib-low,0.41%,35.88,"11,769",3.05
Permira Holdings,21839579524 » am-android-foryou-large-ib-medium,0.66%,45.20,"8,925",5.06
Pernia Qureshi,21839579524 » am-android-foryou-large-ib-high,2.33%,1.03,86,12.00
Pernia Qureshi,21839579524 » am-android-foryou-large-ib-low,1.72%,0.52,174,3.01
Pernia Qureshi,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.71,141,5.00
Pernod Ricard,21839579524 » am-android-foryou-large-ib-high,0.00%,0.27,21,12.88
Pernod Ricard,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.01
Perry Ellis International,21839579524 » am-android-foryou-large-ib-high,2.26%,15.55,"1,282",12.13
Perry Ellis International,21839579524 » am-android-foryou-large-ib-low,1.00%,7.31,"2,404",3.04
Perry Ellis International,21839579524 » am-android-foryou-large-ib-medium,1.73%,12.22,"2,426",5.04
Pet Supermarket,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
Pet Supermarket,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,6,3.00
Pet Supermarket,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,6,5.00
Pet Supplies Plus,21839579524 » am-android-foryou-large-ib-high,1.47%,32.67,"2,308",14.16
Pet Supplies Plus,21839579524 » am-android-foryou-large-ib-low,0.48%,35.09,"11,078",3.17
Pet Supplies Plus,21839579524 » am-android-foryou-large-ib-medium,0.85%,39.14,"6,963",5.62
Petco,21839579524 » am-android-foryou-large-ib-high,0.75%,87.00,"6,926",12.56
Petco,21839579524 » am-android-foryou-large-ib-low,0.47%,60.03,"19,488",3.08
Petco,21839579524 » am-android-foryou-large-ib-medium,0.53%,87.57,"16,875",5.19
Peter Mark,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.00
Peter Mark,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.01
Peter Thomas Roth Labs,21839579524 » am-android-foryou-large-ib-high,0.00%,0.23,15,15.04
